source_id,phot_g_mean_mag,bp_rp,parallax,h_m,j_m,ks_m,ph_qual
4184222255780691584,12.386279,1.7628813,0.45864695678713685,9.501,10.18,9.287,AAA
4184222388913063040,13.510447,1.5308666,0.3058337293876729,10.939,11.557,10.788,AAA
4184222565016941568,13.178268,1.8041153,0.13304044227126094,10.145,10.918,9.937,AAA
4184222633736426880,12.659158,1.3038893,0.44904899758906863,10.405,10.977,10.32,AAA
4184222805535114496,12.380573,0.57332706,1.3411428526777376,11.487,11.618,11.42,AAA
4184222839894806912,12.838293,0.6543951,1.027058571972199,11.771,11.978,11.74,AAA
4184222904303628672,13.907315,0.67595196,0.5981455420319503,12.896,13.208,12.81,UAU
4184223076101147776,12.414334,0.9445896,2.4127745092817845,10.806,11.17,10.77,AAA
4184223183492235392,13.2106495,1.8899412,0.08589095934391913,10.016,10.858,9.82,AAA
4184223286571441024,13.594816,1.3024473,0.28336045666334947,11.37,11.92,11.243,AAA
4184223733248131456,13.793416,0.9097538,0.757286601592108,12.291,12.619,12.189,AAA
4184224141254359808,13.208636,1.4754429,0.3856959055373809,10.68,11.3,10.57,AAA
4184224248644190848,13.836814,1.390501,0.2412355867418253,11.414,12.016,11.315,AAA
4184224656649111936,12.149643,1.1780062,1.1961485974885113,10.154,10.62,10.035,AAA
4184224832759686912,13.041234,0.7489805,0.815935027154382,11.839,12.074,11.777,AAA
4184225004558368128,13.2626505,0.9027624,1.6302806186562622,11.756,12.05,11.712,AAA
4184225137685446272,12.136643,1.4375,0.611403190269024,9.724,10.284,9.581,AAA
4184225210716757888,13.669098,1.021512,1.6957792954110378,11.964,12.332,11.919,AAA
4184225519954455424,13.09193,0.83546257,1.4747863325850175,11.715,11.984,11.669,AAA
4184226069710341120,13.815904,1.4821053,0.2652310262033788,11.337,11.941,11.178,AAA
4184226104070071168,13.763134,1.3892651,,11.237,11.776,11.068,AAA
4184226310228439680,13.748715,1.5713739,0.1371685979689162,11.034,11.741,10.892,AAA
4184226340277792000,12.997821,1.3233395,0.4155176322840828,10.706,11.266,10.596,AAA
4184226374637547392,13.022932,1.359396,0.5911545829653229,10.732,11.254,10.587,AAA
4184226482027208064,12.4547205,1.638567,0.31998174385288386,9.593,10.37,9.466,AAA
4184226585106401408,13.750914,0.8710127,0.7937131360355457,12.305,12.611,12.219,AAA
4184226615155721344,12.662711,2.5816994,0.08626906474804785,8.929,9.838,8.659,AAA
4184226756905145344,13.914627,1.145093,2.5621513030199234,11.976,12.404,11.88,AAA
4184226756905160704,12.99595,0.8314228,1.4003222469559489,11.641,11.918,11.59,AAA
4184226825624599808,13.362111,1.264782,0.4878188374424088,11.165,11.686,11.054,AAA
4184226963063605504,12.839316,0.82126427,1.6449832979903551,11.518,11.781,11.467,AAA
4184227066131687296,10.289671,1.4998379,0.930969280585818,7.693,8.365,7.569,AAA
4184227100502552832,12.846837,1.479619,0.350103798538053,10.274,10.934,10.138,AAA
4184227444099913344,10.435182,0.48701286,1.6704231351269954,9.66,9.762,9.604,AAA
4184227542873227520,12.8398905,1.2780523,0.9955242711751093,10.648,11.165,10.578,AAA
4184227615898641920,12.642301,0.61217594,1.0724702106008568,11.631,11.839,11.574,AAA
4184227822057107200,13.92748,0.7673321,0.7681467462839475,12.672,12.923,12.621,AAA
4184227920831149056,13.519521,0.9681759,1.9036948585061755,11.957,12.281,11.892,AAA
4184228096935046016,11.446869,0.5436764,1.2070645433223242,10.644,10.758,10.625,AAA
4184228303093496064,13.847238,0.9381561,1.0284448927117835,12.306,12.655,12.318,AAA
4184228646690854144,13.8830805,1.0881281,1.0676493524023665,12.096,12.502,12.003,AAA
4184228715410344960,12.408328,1.3948078,0.60616362015184,10.008,10.596,9.894,AAA
4184228917256665984,12.1697855,1.3941183,0.4844447756916789,9.817,10.378,9.679,AAA
4184229059007599360,13.267809,0.7321253,0.8645219338643123,12.069,12.295,12.002,AAA
4184229333885552384,13.025364,0.7220526,1.1535145896382257,11.882,12.087,11.832,AAA
4184229677482900992,13.462353,1.2573328,0.5747676989332804,11.295,11.85,11.192,AAA
4184229711842676352,13.117598,1.425951,0.3603290817688541,10.679,11.277,10.562,AAA
4184230124159569024,11.789474,3.9430094,0.09309316456638347,6.84,7.786,6.489,AAA
4184230192879063680,13.918174,1.455349,0.05808176308694714,11.39,12.051,11.274,AAA
4184230227238801280,13.641234,1.2717857,0.22374325006946935,11.478,11.986,11.361,AAA
4184230364677790080,13.457046,1.7227869,0.20385007226661406,10.524,11.281,10.36,AAA
4184230532164365440,11.704277,1.6666584,0.37462886276124463,8.936,9.612,8.741,AAA
4184230570836167936,13.92233,1.3847485,0.3118993159793876,11.546,12.132,11.462,AAA
4184230910121485440,12.075598,1.6535797,0.21904757440481237,9.244,9.993,9.058,AAA
4184230944481224192,12.225621,0.7791147,1.017318204469671,10.953,11.225,10.958,AAA
4184231081921240192,13.724213,1.0401812,1.1899026802893418,12.015,12.35,11.871,AAA
4184231601628788992,13.657394,0.88901806,1.3535197330151982,12.267,12.529,12.186,AAA
4184231940913647104,13.361966,0.95377254,1.920564008860794,11.807,12.117,11.729,AAA
4184232254463735296,9.871884,0.15054893,1.663611686316781,9.61,9.619,9.582,AAA
4184232662469404160,13.56759,1.0322933,1.7806640641655636,11.904,12.264,11.83,AAA
4184232765549928064,13.433361,1.2203178,0.32773945507322816,11.333,11.828,11.229,AAA
4184232868629150208,13.86301,1.5119247,0.17472078173898747,11.276,11.949,11.166,AAA
